"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","2,759,018","±9,086","2,759,018","(X)"
"        Married-couple household","1,268,347","±17,045","46.0%","±0.6"
"            With children of the householder under 18 years","488,576","±9,480","17.7%","±0.3"
"        Cohabiting couple household","213,480","±7,734","7.7%","±0.3"
"            With children of the householder under 18 years","52,650","±4,394","1.9%","±0.2"
"        Male householder, no spouse/partner present","482,874","±12,381","17.5%","±0.4"
"            With children of the householder under 18 years","26,715","±2,932","1.0%","±0.1"
"            Householder living alone","332,152","±10,787","12.0%","±0.4"
"                65 years and over","102,728","±4,784","3.7%","±0.2"
"        Female householder, no spouse/partner present","794,317","±9,872","28.8%","±0.4"
"            With children of the householder under 18 years","134,262","±6,318","4.9%","±0.2"
"            Householder living alone","455,374","±9,474","16.5%","±0.3"
"                65 years and over","225,705","±7,023","8.2%","±0.3"
"        Households with one or more people under 18 years","772,250","±11,229","28.0%","±0.4"
"        Households with one or more people 65 years and over","875,296","±5,804","31.7%","±0.2"
"        Average household size","2.44","±0.01","(X)","(X)"
"        Average family size","3.04","±0.02","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","6,738,001","*****","6,738,001","(X)"
"        Householder","2,759,018","±9,086","40.9%","±0.1"
"        Spouse","1,266,740","±16,984","18.8%","±0.3"
"        Unmarried partner","215,154","±8,046","3.2%","±0.1"
"        Child","1,864,378","±15,942","27.7%","±0.2"
"        Other relatives","381,435","±12,973","5.7%","±0.2"
"        Other nonrelatives","251,276","±12,394","3.7%","±0.2"
"MARITAL STATUS","","","",""
"    Males 15 years and over","2,840,285","±2,046","2,840,285","(X)"
"        Never married","1,130,992","±14,035","39.8%","±0.5"
"        Now married, except separated","1,393,607","±16,232","49.1%","±0.6"
"        Separated","34,483","±4,130","1.2%","±0.1"
"        Widowed","66,301","±3,886","2.3%","±0.1"
"        Divorced","214,902","±7,093","7.6%","±0.2"
"    Females 15 years and over","3,031,022","±2,116","3,031,022","(X)"
"        Never married","1,072,407","±12,040","35.4%","±0.4"
"        Now married, except separated","1,343,005","±17,714","44.3%","±0.6"
"        Separated","54,254","±4,774","1.8%","±0.2"
"        Widowed","235,474","±5,939","7.8%","±0.2"
"        Divorced","325,882","±9,733","10.8%","±0.3"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,136","±4,819","75,136","(X)"
"        Unmarried women (widowed, divorced, and never married)","23,915","±3,494","31.8%","±3.5"
"            Per 1,000 unmarried women","24","±3","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±3","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","2","±2","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±5","(X)","(X)"
