"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","124,010,992","±196,755","124,010,992","(X)"
"        Married-couple household","59,331,185","±246,890","47.8%","±0.1"
"            With children of the householder under 18 years","23,033,362","±185,522","18.6%","±0.1"
"        Cohabiting couple household","8,282,361","±28,097","6.7%","±0.1"
"            With children of the householder under 18 years","2,763,132","±14,816","2.2%","±0.1"
"        Male householder, no spouse/partner present","22,372,501","±55,079","18.0%","±0.1"
"            With children of the householder under 18 years","1,560,823","±12,596","1.3%","±0.1"
"            Householder living alone","15,750,004","±29,443","12.7%","±0.1"
"                65 years and over","4,591,969","±36,672","3.7%","±0.1"
"        Female householder, no spouse/partner present","34,024,945","±37,789","27.4%","±0.1"
"            With children of the householder under 18 years","6,374,132","±27,808","5.1%","±0.1"
"            Householder living alone","19,047,242","±57,495","15.4%","±0.1"
"                65 years and over","9,296,337","±76,874","7.5%","±0.1"
"        Households with one or more people under 18 years","37,894,066","±159,393","30.6%","±0.1"
"        Households with one or more people 65 years and over","37,491,224","±91,453","30.2%","±0.1"
"        Average household size","2.60","±0.01","(X)","(X)"
"        Average family size","3.20","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","321,899,278","*****","321,899,278","(X)"
"        Householder","124,010,992","±196,755","38.5%","±0.1"
"        Spouse","59,229,058","±240,908","18.4%","±0.1"
"        Unmarried partner","8,386,127","±25,982","2.6%","±0.1"
"        Child","95,603,152","±93,380","29.7%","±0.1"
"        Other relatives","23,224,544","±194,444","7.2%","±0.1"
"        Other nonrelatives","11,445,405","±162,164","3.6%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","131,810,816","±6,348","131,810,816","(X)"
"        Never married","48,405,695","±165,135","36.7%","±0.1"
"        Now married, except separated","65,466,096","±232,210","49.7%","±0.2"
"        Separated","2,049,490","±17,501","1.6%","±0.1"
"        Widowed","3,414,404","±15,749","2.6%","±0.1"
"        Divorced","12,475,131","±62,418","9.5%","±0.1"
"    Females 15 years and over","136,570,289","±6,082","136,570,289","(X)"
"        Never married","42,241,113","±124,275","30.9%","±0.1"
"        Now married, except separated","63,400,720","±178,425","46.4%","±0.1"
"        Separated","2,805,549","±23,573","2.1%","±0.1"
"        Widowed","11,521,461","±22,654","8.4%","±0.1"
"        Divorced","16,601,446","±50,989","12.2%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","3,971,395","±22,692","3,971,395","(X)"
"        Unmarried women (widowed, divorced, and never married)","1,285,702","±12,055","32.4%","±0.3"
"            Per 1,000 unmarried women","29","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","51","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","10","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","86","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","31","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","7,098,821","±33,782","7,098,821","(X)"
"        Grandparents responsible for grandchildren","2,321,357","±16,787","32.7%","±0.2"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","397,833","±6,081","5.6%","±0.1"
"            1 or 2 years","469,563","±7,078","6.6%","±0.1"
"            3 or 4 years","381,370","±5,876","5.4%","±0.1"
"            5 or more years","1,072,591","±10,432","15.1%","±0.1"
"    Number of grandparents responsible for own grandchildren under 18 years","2,321,357","±16,787","2,321,357","(X)"
"        Who are female","1,465,559","±10,487","63.1%","±0.2"
"        Who are married","1,576,650","±13,611","67.9%","±0.3"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","81,076,829","±85,695","81,076,829","(X)"
"        Nursery school, preschool","4,744,776","±25,968","5.9%","±0.1"
"        Kindergarten","4,050,752","±18,101","5.0%","±0.1"
"        Elementary school (grades 1-8)","33,070,355","±24,492","40.8%","±0.1"
"        High school (grades 9-12)","17,256,453","±21,730","21.3%","±0.1"
"        College or graduate school","21,954,493","±60,891","27.1%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","225,152,317","±10,705","225,152,317","(X)"
"        Less than 9th grade","10,793,507","±66,180","4.8%","±0.1"
"        9th to 12th grade, no diploma","14,256,849","±73,522","6.3%","±0.1"
"        High school graduate (includes equivalency)","59,636,386","±222,257","26.5%","±0.1"
"        Some college, no degree","45,042,031","±51,367","20.0%","±0.1"
"        Associate's degree","19,614,710","±49,800","8.7%","±0.1"
"        Bachelor's degree","46,354,331","±163,196","20.6%","±0.1"
"        Graduate or professional degree","29,454,503","±185,702","13.1%","±0.1"
"        High school graduate or higher","200,101,961","±139,360","88.9%","±0.1"
"        Bachelor's degree or higher","75,808,834","±341,900","33.7%","±0.2"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","254,296,179","±10,286","254,296,179","(X)"
"        Civilian veterans","17,431,290","±48,418","6.9%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","324,818,565","±10,001","324,818,565","(X)"
"        With a disability","41,055,492","±82,353","12.6%","±0.1"
"    Under 18 years","74,105,940","±4,349","74,105,940","(X)"
"        With a disability","3,270,678","±15,332","4.4%","±0.1"
"    18 to 64 years","199,006,899","±12,144","199,006,899","(X)"
"        With a disability","20,537,729","±55,407","10.3%","±0.1"
"    65 years and over","51,705,726","±6,036","51,705,726","(X)"
"        With a disability","17,247,085","±36,977","33.4%","±0.1"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","326,169,561","±15,728","326,169,561","(X)"
"        Same house","282,348,858","±164,918","86.6%","±0.1"
"        Different house (in the U.S. or abroad)","43,820,703","±166,321","13.4%","±0.1"
"            Different house in the U.S.","42,012,512","±163,909","12.9%","±0.1"
"                Same county","24,010,542","±120,675","7.4%","±0.1"
"                Different county","18,001,970","±60,947","5.5%","±0.1"
"                    Same state","10,504,912","±44,694","3.2%","±0.1"
"                    Different state","7,497,058","±33,858","2.3%","±0.1"
"            Abroad","1,808,191","±15,565","0.6%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","329,725,481","*****","329,725,481","(X)"
"        Native","284,880,673","±126,145","86.4%","±0.1"
"            Born in United States","279,427,702","±120,804","84.7%","±0.1"
"                State of residence","191,639,141","±88,389","58.1%","±0.1"
"                Different state","87,788,561","±118,153","26.6%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","5,452,971","±26,304","1.7%","±0.1"
"        Foreign born","44,844,808","±126,423","13.6%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","44,844,808","±126,423","44,844,808","(X)"
"        Naturalized U.S. citizen","23,141,369","±45,385","51.6%","±0.2"
"        Not a U.S. citizen","21,703,439","±125,581","48.4%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","50,297,779","±121,072","50,297,779","(X)"
"        Native","5,452,971","±26,304","5,452,971","(X)"
"            Entered 2010 or later","1,430,458","±16,732","26.2%","±0.2"
