"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01092!!Estimate","ZCTA5 01092!!Margin of Error","ZCTA5 01092!!Percent","ZCTA5 01092!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","532","±198","532","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","199","±88","37.4%","±21.1"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","75","±55","14.1%","±11.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","54","±62","10.2%","±11.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","27","±45","5.1%","±8.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","146","±181","27.4%","±27.7"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±7.2"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","146","±181","27.4%","±27.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","0","±13","0.0%","±7.2"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","133","±91","25.0%","±16.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","31","±53","5.8%","±10.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","54","±66","10.2%","±11.8"
"                65 years and over","221,896","±3,548","8.2%","±0.1","54","±66","10.2%","±11.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","160","±81","30.1%","±17.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","117","±92","22.0%","±18.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.34","±0.67","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.00","±0.55","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,243","±316","1,243","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","532","±198","42.8%","±11.9"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","204","±90","16.4%","±6.0"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","49","±56","3.9%","±4.3"
"        Child","1,898,296","±5,188","28.1%","±0.1","284","±152","22.8%","±10.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","68","±111","5.5%","±8.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","106","±117","8.5%","±9.0"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","460","±204","460","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","78","±80","17.0%","±15.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","236","±130","51.3%","±30.1"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±13","0.0%","±8.3"
"        Widowed","65,484","±1,934","2.3%","±0.1","0","±13","0.0%","±8.3"
