Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Sex And Age Total Population,2554,507,2554,(X)
Estimate Sex And Age Total Population Male,1123,288,44.0,6.0
Estimate Sex And Age Total Population Female,1431,302,56.0,6.0
Estimate Sex And Age Total Population Sex Ratio (Males Per 100 Females),78.5,18.8,(X),(X)
Estimate Sex And Age Total Population Under 5 Years,63,53,2.5,2.0
Estimate Sex And Age Total Population 5 To 9 Years,170,114,6.7,3.9
Estimate Sex And Age Total Population 10 To 14 Years,219,125,8.6,4.1
Estimate Sex And Age Total Population 15 To 19 Years,137,85,5.4,3.4
Estimate Sex And Age Total Population 20 To 24 Years,75,79,2.9,3.2
Estimate Sex And Age Total Population 25 To 34 Years,224,159,8.8,6.0
Estimate Sex And Age Total Population 35 To 44 Years,286,124,11.2,4.5
Estimate Sex And Age Total Population 45 To 54 Years,260,125,10.2,4.5
Estimate Sex And Age Total Population 55 To 59 Years,233,110,9.1,4.5
Estimate Sex And Age Total Population 60 To 64 Years,219,112,8.6,4.5
Estimate Sex And Age Total Population 65 To 74 Years,448,240,17.5,8.2
Estimate Sex And Age Total Population 75 To 84 Years,178,109,7.0,4.4
Estimate Sex And Age Total Population 85 Years And Over,42,32,1.6,1.3
Estimate Sex And Age Total Population Median Age (Years),48.2,9.6,(X),(X)
Estimate Sex And Age Total Population Under 18 Years,515,243,20.2,7.4
Estimate Sex And Age Total Population 16 Years And Over,2102,381,82.3,7.7
Estimate Sex And Age Total Population 18 Years And Over,2039,376,79.8,7.4
Estimate Sex And Age Total Population 21 Years And Over,1965,366,76.9,7.2
Estimate Sex And Age Total Population 62 Years And Over,769,266,30.1,8.8
Estimate Sex And Age Total Population 65 Years And Over,668,258,26.2,8.6
Estimate Sex And Age Total Population 18 Years And Over,2039,376,2039,(X)
Estimate Sex And Age Total Population 18 Years And Over Male,898,202,44.0,5.7
Estimate Sex And Age Total Population 18 Years And Over Female,1141,240,56.0,5.7
Estimate Sex And Age Total Population 18 Years And Over Sex Ratio (Males Per 100 Females),78.7,18.1,(X),(X)
Estimate Sex And Age Total Population 65 Years And Over,668,258,668,(X)
Estimate Sex And Age Total Population 65 Years And Over Male,259,138,38.8,9.5
Estimate Sex And Age Total Population 65 Years And Over Female,409,140,61.2,9.5
Estimate Sex And Age Total Population 65 Years And Over Sex Ratio (Males Per 100 Females),63.3,24.3,(X),(X)
Estimate Race Total Population,2554,507,2554,(X)
Estimate Race Total Population One Race,2550,507,99.8,0.3
Estimate Race Total Population Two Or More Races,4,7,0.2,0.3
Estimate Race Total Population One Race,2550,507,99.8,0.3
Estimate Race Total Population One Race White,2115,497,82.8,7.1
Estimate Race Total Population One Race Black Or African American,318,145,12.5,5.7
Estimate Race Total Population One Race American Indian And Alaska Native,78,92,3.1,3.6
Estimate Race Total Population One Race American Indian And Alaska Native Cherokee Tribal Grouping,0,13,0.0,1.6
Estimate Race Total Population One Race American Indian And Alaska Native Chippewa Tribal Grouping,0,13,0.0,1.6
Estimate Race Total Population One Race American Indian And Alaska Native Navajo Tribal Grouping,0,13,0.0,1.6
Estimate Race Total Population One Race American Indian And Alaska Native Sioux Tribal Grouping,0,13,0.0,1.6
Estimate Race Total Population One Race Asian,0,13,0.0,1.6
Estimate Race Total Population One Race Asian Asian Indian,0,13,0.0,1.6
Estimate Race Total Population One Race Asian Chinese,0,13,0.0,1.6
Estimate Race Total Population One Race Asian Filipino,0,13,0.0,1.6
Estimate Race Total Population One Race Asian Japanese,0,13,0.0,1.6
Estimate Race Total Population One Race Asian Korean,0,13,0.0,1.6
Estimate Race Total Population One Race Asian Vietnamese,0,13,0.0,1.6
Estimate Race Total Population One Race Asian Other Asian,0,13,0.0,1.6
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander,0,13,0.0,1.6
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Native Hawaiian,0,13,0.0,1.6
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Chamorro,0,13,0.0,1.6
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Samoan,0,13,0.0,1.6
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Other Pacific Islander,0,13,0.0,1.6
Estimate Race Total Population One Race Some Other Race,39,86,1.5,3.4
Estimate Race Total Population Two Or More Races,4,7,0.2,0.3
Estimate Race Total Population Two Or More Races White And Black Or African American,0,13,0.0,1.6
Estimate Race Total Population Two Or More Races White And American Indian And Alaska Native,0,13,0.0,1.6
Estimate Race Total Population Two Or More Races White And Asian,0,13,0.0,1.6
Estimate Race Total Population Two Or More Races Black Or African American And American Indian And Alaska Native,0,13,0.0,1.6
Estimate Race Alone Or In Combination With One Or More Other Races Total Population,2554,507,2554,(X)
Estimate Race Alone Or In Combination With One Or More Other Races Total Population White,2119,497,83.0,7.1
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Black Or African American,318,145,12.5,5.7
Estimate Race Alone Or In Combination With One Or More Other Races Total Population American Indian And Alaska Native,78,92,3.1,3.6
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Asian,0,13,0.0,1.6
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Native Hawaiian And Other Pacific Islander,0,13,0.0,1.6
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Some Other Race,43,87,1.7,3.4
Estimate Hispanic Or Latino And Race Total Population,2554,507,2554,(X)
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race),527,323,20.6,11.2
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Mexican,63,100,2.5,4.0
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Puerto Rican,71,97,2.8,3.9
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Cuban,45,68,1.8,2.6
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Other Hispanic Or Latino,348,328,13.6,12.1
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino,2027,422,79.4,11.2
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino White Alone,1721,412,67.4,11.5
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Black Or African American Alone,302,130,11.8,5.1
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino American Indian And Alaska Native Alone,0,13,0.0,1.6
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Asian Alone,0,13,0.0,1.6
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Native Hawaiian And Other Pacific Islander Alone,0,13,0.0,1.6
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Some Other Race Alone,0,13,0.0,1.6
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Two Or More Races,4,7,0.2,0.3
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Two Or More Races Two Races Including Some Other Race,4,7,0.2,0.3
"Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Two Or More Races Two Races Excluding Some Other Race, And Three Or More Races",0,13,0.0,1.6
Estimate Total Housing Units,1450,203,(X),(X)
"Estimate Citizen, Voting Age Population Citizen, 18 And Over Population",1874,369,1874,(X)
"Estimate Citizen, Voting Age Population Citizen, 18 And Over Population Male",839,206,44.8,6.7
"Estimate Citizen, Voting Age Population Citizen, 18 And Over Population Female",1035,239,55.2,6.7
