Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,91,27,91,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,60,24,65.9,16.2
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,60,24,65.9,16.2
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,58,24,63.7,17.3
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,2,4,2.2,4.5
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,9,0.0,19.6
Estimate Employment Status Population 16 Years And Over Not In Labor Force,31,17,34.1,16.2
Estimate Employment Status Civilian Labor Force,60,24,60,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),3.3,7.2
Estimate Employment Status Females 16 Years And Over,45,16,45,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,34,15,75.6,18.2
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,34,15,75.6,18.2
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,34,15,75.6,18.2
Estimate Employment Status Own Children Of The Householder Under 6 Years,12,17,12,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,12,17,100.0,67.2
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,19,21,19,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,19,21,100.0,53.4
Estimate Commuting To Work Workers 16 Years And Over,58,24,58,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",52,22,89.7,11.9
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",0,9,0.0,28.4
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),0,9,0.0,28.4
Estimate Commuting To Work Workers 16 Years And Over Walked,0,9,0.0,28.4
