Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,13992,440,13992,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,8801,546,62.9,3.2
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,8801,546,62.9,3.2
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,8480,579,60.6,3.3
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,321,130,2.3,1.0
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,21,0.0,0.3
Estimate Employment Status Population 16 Years And Over Not In Labor Force,5191,467,37.1,3.2
Estimate Employment Status Civilian Labor Force,8801,546,8801,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),3.6,1.5
Estimate Employment Status Females 16 Years And Over,7352,451,7352,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,4483,425,61.0,4.2
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,4483,425,61.0,4.2
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,4340,450,59.0,4.4
Estimate Employment Status Own Children Of The Householder Under 6 Years,746,222,746,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,560,221,75.1,16.2
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,1729,295,1729,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,1296,268,75.0,11.6
Estimate Commuting To Work Workers 16 Years And Over,8421,585,8421,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",7489,598,88.9,3.2
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",383,188,4.5,2.2
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),8,12,0.1,0.1
Estimate Commuting To Work Workers 16 Years And Over Walked,34,30,0.4,0.4
Estimate Commuting To Work Workers 16 Years And Over Other Means,0,21,0.0,0.5
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,507,190,6.0,2.2
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),29.3,2.7,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,8480,579,8480,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",3290,434,38.8,4.6
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,1628,385,19.2,4.0
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,1663,385,19.6,4.6
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",930,314,11.0,3.5
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",969,287,11.4,3.4
Estimate Industry Civilian Employed Population 16 Years And Over,8480,579,8480,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",73,74,0.9,0.9
Estimate Industry Civilian Employed Population 16 Years And Over Construction,918,330,10.8,3.7
