Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,20326,602,20326,(X)
Estimate Households By Type Total Households Married-Couple Household,13230,708,65.1,3.3
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,7805,622,38.4,2.9
Estimate Households By Type Total Households Cohabiting Couple Household,1161,429,5.7,2.1
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,241,170,1.2,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1879,411,9.2,2.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",349,230,1.7,1.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1085,326,5.3,1.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",128,82,0.6,0.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",4056,586,20.0,2.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",1331,326,6.5,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1502,302,7.4,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",651,207,3.2,1.0
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,10474,720,51.5,3.2
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,3547,491,17.5,2.4
Estimate Households By Type Total Households Average Household Size,3.16,0.08,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.49,0.08,(X),(X)
Estimate Relationship Population In Households,64227,1525,64227,(X)
Estimate Relationship Population In Households Householder,20326,602,31.6,0.8
Estimate Relationship Population In Households Spouse,13069,745,20.3,1.1
Estimate Relationship Population In Households Unmarried Partner,1097,383,1.7,0.6
Estimate Relationship Population In Households Child,23862,1225,37.2,1.6
Estimate Relationship Population In Households Other Relatives,4397,808,6.8,1.2
Estimate Relationship Population In Households Other Nonrelatives,1476,560,2.3,0.9
Estimate Marital Status Males 15 Years And Over,24000,752,24000,(X)
Estimate Marital Status Males 15 Years And Over Never Married,6884,720,28.7,2.7
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",14624,802,60.9,3.3
Estimate Marital Status Males 15 Years And Over Separated,181,161,0.8,0.7
Estimate Marital Status Males 15 Years And Over Widowed,349,282,1.5,1.2
Estimate Marital Status Males 15 Years And Over Divorced,1962,553,8.2,2.2
Estimate Marital Status Females 15 Years And Over,25345,1152,25345,(X)
Estimate Marital Status Females 15 Years And Over Never Married,6838,891,27.0,2.9
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",13555,791,53.5,3.6
Estimate Marital Status Females 15 Years And Over Separated,702,278,2.8,1.1
Estimate Marital Status Females 15 Years And Over Widowed,1287,326,5.1,1.2
Estimate Marital Status Females 15 Years And Over Divorced,2963,621,11.7,2.3
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,960,320,960,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",143,115,14.9,10.5
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",18,14,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",54,18,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",34,38,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",75,41,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",44,21,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,2075,497,2075,(X)
