Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,2184,323,2184,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,1101,256,50.4,8.6
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,1101,256,50.4,8.6
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,1041,257,47.7,8.4
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,60,69,2.7,3.2
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,14,0.0,2.1
Estimate Employment Status Population 16 Years And Over Not In Labor Force,1083,242,49.6,8.6
Estimate Employment Status Civilian Labor Force,1101,256,1101,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),5.4,6.2
Estimate Employment Status Females 16 Years And Over,1162,153,1162,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,568,129,48.9,9.1
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,568,129,48.9,9.1
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,509,142,43.8,10.3
Estimate Employment Status Own Children Of The Householder Under 6 Years,186,93,186,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,53,39,28.5,22.0
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,324,96,324,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,238,104,73.5,18.5
Estimate Commuting To Work Workers 16 Years And Over,1036,256,1036,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",817,229,78.9,11.0
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",141,100,13.6,8.7
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),0,14,0.0,4.5
Estimate Commuting To Work Workers 16 Years And Over Walked,34,51,3.3,4.8
Estimate Commuting To Work Workers 16 Years And Over Other Means,1,3,0.1,0.3
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,43,42,4.2,3.8
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),20.8,4.1,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,1041,257,1041,(X)
