,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,4776,245,4776,(X)
Estimate Households By Type Total Households Married-Couple Household,2891,294,60.5,5.7
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1179,196,24.7,4.2
Estimate Households By Type Total Households Cohabiting Couple Household,236,156,4.9,3.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,120,138,2.5,2.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",786,198,16.5,3.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",77,79,1.6,1.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",543,168,11.4,3.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",167,83,3.5,1.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",863,211,18.1,4.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",237,144,5.0,3.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",343,145,7.2,2.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",148,78,3.1,1.6
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1810,185,37.9,4.8
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1369,250,28.7,4.7
Estimate Households By Type Total Households Average Household Size,2.76,0.14,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.16,0.14,(X),(X)
Estimate Relationship Population In Households,13203,119,13203,(X)
Estimate Relationship Population In Households Householder,4776,245,36.2,1.8
Estimate Relationship Population In Households Spouse,2864,302,21.7,2.3
Estimate Relationship Population In Households Unmarried Partner,243,161,1.8,1.2
Estimate Relationship Population In Households Child,4276,396,32.4,3.0
Estimate Relationship Population In Households Other Relatives,900,333,6.8,2.5
Estimate Relationship Population In Households Other Nonrelatives,144,78,1.1,0.6
Estimate Marital Status Males 15 Years And Over,5022,324,5022,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1316,262,26.2,4.7
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3010,285,59.9,5.2
Estimate Marital Status Males 15 Years And Over Separated,51,55,1.0,1.1
Estimate Marital Status Males 15 Years And Over Widowed,154,76,3.1,1.6
Estimate Marital Status Males 15 Years And Over Divorced,491,165,9.8,3.0
Estimate Marital Status Females 15 Years And Over,5447,315,5447,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1207,320,22.2,5.1
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3123,309,57.3,6.1
Estimate Marital Status Females 15 Years And Over Separated,215,128,3.9,2.3
Estimate Marital Status Females 15 Years And Over Widowed,374,133,6.9,2.4
Estimate Marital Status Females 15 Years And Over Divorced,528,190,9.7,3.5
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,133,68,133,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",17,28,12.8,19.5
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",12,20,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",45,25,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,114,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",89,59,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",25,23,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,300,189,300,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,21,0.0,12.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,12.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,21,0.0,12.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,21,0.0,12.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,21,0.0,12.5
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,21,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,21,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,21,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,3512,661,3512,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",202,86,5.8,2.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,254,126,7.2,4.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),1736,353,49.4,6.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),625,200,17.8,5.8
