Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Sex And Age Total Population,15183,153,15183,(X)
Estimate Sex And Age Total Population Male,7070,414,46.6,2.6
Estimate Sex And Age Total Population Female,8113,402,53.4,2.6
Estimate Sex And Age Total Population Sex Ratio (Males Per 100 Females),87.1,9.2,(X),(X)
Estimate Sex And Age Total Population Under 5 Years,809,289,5.3,1.9
Estimate Sex And Age Total Population 5 To 9 Years,853,199,5.6,1.3
Estimate Sex And Age Total Population 10 To 14 Years,1001,209,6.6,1.4
Estimate Sex And Age Total Population 15 To 19 Years,678,184,4.5,1.2
Estimate Sex And Age Total Population 20 To 24 Years,833,252,5.5,1.7
Estimate Sex And Age Total Population 25 To 34 Years,1423,402,9.4,2.6
Estimate Sex And Age Total Population 35 To 44 Years,2007,333,13.2,2.2
Estimate Sex And Age Total Population 45 To 54 Years,2668,412,17.6,2.7
Estimate Sex And Age Total Population 55 To 59 Years,1264,295,8.3,2.0
Estimate Sex And Age Total Population 60 To 64 Years,854,388,5.6,2.5
Estimate Sex And Age Total Population 65 To 74 Years,1634,264,10.8,1.8
Estimate Sex And Age Total Population 75 To 84 Years,673,201,4.4,1.3
Estimate Sex And Age Total Population 85 Years And Over,486,156,3.2,1.0
Estimate Sex And Age Total Population Median Age (Years),44.9,3.7,(X),(X)
Estimate Sex And Age Total Population Under 18 Years,3086,327,20.3,2.2
Estimate Sex And Age Total Population 16 Years And Over,12418,350,81.8,2.1
Estimate Sex And Age Total Population 18 Years And Over,12097,359,79.7,2.2
Estimate Sex And Age Total Population 21 Years And Over,11688,409,77.0,2.6
Estimate Sex And Age Total Population 62 Years And Over,3343,437,22.0,2.9
Estimate Sex And Age Total Population 65 Years And Over,2793,345,18.4,2.3
Estimate Sex And Age Total Population 18 Years And Over,12097,359,12097,(X)
Estimate Sex And Age Total Population 18 Years And Over Male,5585,293,46.2,2.3
Estimate Sex And Age Total Population 18 Years And Over Female,6512,368,53.8,2.3
Estimate Sex And Age Total Population 18 Years And Over Sex Ratio (Males Per 100 Females),85.8,7.9,(X),(X)
Estimate Sex And Age Total Population 65 Years And Over,2793,345,2793,(X)
Estimate Sex And Age Total Population 65 Years And Over Male,1124,194,40.2,4.8
Estimate Sex And Age Total Population 65 Years And Over Female,1669,247,59.8,4.8
Estimate Sex And Age Total Population 65 Years And Over Sex Ratio (Males Per 100 Females),67.3,13.7,(X),(X)
Estimate Race Total Population,15183,153,15183,(X)
Estimate Race Total Population One Race,14624,300,96.3,1.7
