,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,12115,565,12115,(X)
Estimate Households By Type Total Households Married-Couple Household,4399,403,36.3,3.6
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1675,261,13.8,2.3
Estimate Households By Type Total Households Cohabiting Couple Household,1495,328,12.3,2.6
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,177,150,1.5,1.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",2924,403,24.1,2.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",14,16,0.1,0.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1863,341,15.4,2.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",397,187,3.3,1.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",3297,420,27.2,3.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",264,104,2.2,0.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",2311,372,19.1,2.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",906,251,7.5,2.0
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,2310,288,19.1,2.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2894,410,23.9,2.9
Estimate Households By Type Total Households Average Household Size,2.23,0.11,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.00,0.17,(X),(X)
Estimate Relationship Population In Households,27070,1225,27070,(X)
Estimate Relationship Population In Households Householder,12115,565,44.8,2.1
Estimate Relationship Population In Households Spouse,4362,391,16.1,1.5
Estimate Relationship Population In Households Unmarried Partner,1435,291,5.3,1.1
Estimate Relationship Population In Households Child,5505,800,20.3,2.5
Estimate Relationship Population In Households Other Relatives,1457,498,5.4,1.8
Estimate Relationship Population In Households Other Nonrelatives,2196,642,8.1,2.3
Estimate Marital Status Males 15 Years And Over,13695,874,13695,(X)
Estimate Marital Status Males 15 Years And Over Never Married,7562,790,55.2,3.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",4766,398,34.8,3.1
Estimate Marital Status Males 15 Years And Over Separated,239,177,1.7,1.3
Estimate Marital Status Males 15 Years And Over Widowed,229,96,1.7,0.7
Estimate Marital Status Males 15 Years And Over Divorced,899,268,6.6,1.9
Estimate Marital Status Females 15 Years And Over,13182,730,13182,(X)
Estimate Marital Status Females 15 Years And Over Never Married,6120,542,46.4,3.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",4806,480,36.5,3.3
Estimate Marital Status Females 15 Years And Over Separated,134,104,1.0,0.8
Estimate Marital Status Females 15 Years And Over Widowed,983,288,7.5,2.1
Estimate Marital Status Females 15 Years And Over Divorced,1139,263,8.6,1.9
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,329,125,329,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",19,21,5.8,6.2
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",3,4,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",38,15,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,31,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",44,21,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",46,31,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,281,140,281,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,128,96,45.6,28.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,41,66,14.6,21.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,28,0.0,13.2
