Zip Code,Performance Category,Actual ACP Enrollment,Predicted ACP enrollment,Claimed ACP subscribers,Total Support (in dollars),Total Households,Eligible Households,Wireline Broadband,Cellular Data Only,No Computer,"Income $15,000 or less",Rent Burdened,Population Age 65+,Share of population foreign born,State Code
1013,HIGHEST,3451,1890,2886,96044,9375,5738,66%,19%,10%,14%,49%,16%,11%,25
1032,HIGHEST,19,6,18,540,198,40,59%,5%,2%,7%,20%,26%,0%,25
1072,HIGHEST,38,19,4,220,609,145,63%,7%,5%,4%,47%,25%,4%,25
1096,HIGHEST,51,23,17,660,1058,180,70%,5%,4%,5%,43%,24%,4%,25
1201,HIGHEST,5432,2736,4651,149332,19952,9836,76%,8%,9%,9%,57%,20%,7%,25
1226,HIGHEST,369,177,335,10370,2907,840,77%,6%,8%,4%,50%,25%,4%,25
1236,HIGHEST,46,12,43,1270,704,144,88%,9%,1%,5%,77%,33%,12%,25
1238,HIGHEST,265,102,232,7480,2292,701,81%,5%,4%,3%,45%,29%,6%,25
1240,HIGHEST,143,66,126,3935,2158,477,75%,4%,7%,7%,52%,37%,14%,25
1247,HIGHEST,2016,1034,1648,54672,6527,3440,75%,6%,10%,12%,46%,20%,6%,25
1253,HIGHEST,28,12,19,570,434,81,47%,23%,10%,5%,100%,26%,2%,25
1254,HIGHEST,19,11,17,705,440,75,87%,5%,5%,6%,70%,38%,5%,25
1267,HIGHEST,210,125,168,5370,2541,605,82%,8%,5%,10%,45%,22%,13%,25
1331,HIGHEST,1481,779,1277,51793,5450,2409,78%,8%,8%,8%,58%,19%,4%,25
1341,HIGHEST,38,14,4,220,730,174,83%,2%,2%,2%,27%,29%,3%,25
1346,HIGHEST,24,1,23,740,180,31,37%,33%,11%,3%,0%,34%,3%,25
1355,HIGHEST,40,19,35,1250,413,140,30%,31%,6%,6%,56%,17%,1%,25
1364,HIGHEST,998,553,871,29863,3021,1797,79%,6%,11%,12%,45%,21%,4%,25
1524,HIGHEST,299,176,248,8275,2180,593,80%,4%,6%,1%,26%,14%,5%,25
1534,HIGHEST,243,115,208,6595,2367,322,80%,6%,7%,3%,36%,19%,5%,25
1535,HIGHEST,293,144,242,7665,1883,448,75%,7%,7%,4%,46%,19%,1%,25
1537,HIGHEST,119,59,111,3725,781,199,73%,0%,9%,0%,12%,15%,8%,25
1540,HIGHEST,615,291,540,18719,3988,678,80%,7%,4%,5%,51%,13%,6%,25
1541,HIGHEST,45,8,36,1080,1298,177,69%,8%,2%,3%,41%,21%,4%,25
1568,HIGHEST,150,78,126,3830,2651,225,82%,7%,3%,1%,33%,18%,8%,25
1570,HIGHEST,2030,1045,1789,60317,7414,3403,75%,9%,10%,8%,47%,19%,8%,25
