,ZCTA,Population Under 18,Population Over 18,Population Over 65,Total White Population,Total Black or African American Population,Total Native American Population,Total Asian Population,Total Native Hawaiian and Pacific Islander Population,Total Hispanic or Latino Population,Total Citizens over 18
0,1001,2797,13291,3613,14434,596,0,591,0,689,12861
1,1002,3599,23724,3561,20141,1643,24,2623,132,2059,21231
2,1003,189,13522,5,9173,766,39,2570,0,1298,12121
3,1005,882,4065,661,4768,22,0,0,0,171,3986
4,1007,3119,12185,2527,14051,52,0,491,0,617,12079
5,1008,166,1005,306,1152,0,2,0,0,51,999
6,1009,183,617,74,800,0,0,0,0,0,617
7,1010,820,2883,741,3058,151,0,25,0,72,2874
8,1011,316,1016,238,1302,5,0,3,0,9,1003
9,1012,63,440,123,493,0,0,0,0,10,440
10,1013,4963,17746,3679,16916,1023,4,507,0,7206,16900
11,1020,5699,25005,6328,25560,1684,13,405,0,5086,24258
12,1022,255,1980,575,1659,370,0,65,0,180,1857
13,1026,171,900,257,1039,0,2,1,0,13,893
14,1027,2717,14991,4139,16033,71,0,307,6,988,14671
15,1028,3941,12445,3490,14792,165,0,645,0,1153,12162
16,1029,74,437,108,504,0,2,0,0,8,437
17,1030,2242,10385,2234,11849,186,0,74,0,526,10333
18,1031,431,1146,264,1427,0,0,0,0,158,1133
19,1032,62,368,110,426,0,0,0,0,4,368
20,1033,850,5260,1151,5899,65,0,31,0,172,5188
21,1034,330,1661,408,1848,22,5,10,0,17,1632
22,1035,948,4345,1311,4716,120,0,114,0,193,4233
23,1036,627,4364,1410,4579,5,24,13,0,307,4337
24,1037,131,561,187,665,1,1,3,0,22,549
25,1038,408,2193,683,2292,0,27,21,0,194,2164
26,1039,264,1411,395,1577,29,18,0,0,76,1399
27,1040,9005,29475,6072,28031,1550,118,373,0,20506,28817
28,1050,472,2121,423,2432,28,4,0,0,70,2109
29,1053,171,1845,604,1809,173,0,2,0,34,1840
30,1054,318,1476,537,1653,9,0,71,0,24,1450
31,1056,3314,17736,4326,18767,411,0,233,0,2051,17036
32,1057,1407,6881,1856,7905,60,0,129,0,243,6833
33,1060,2447,12528,2747,12852,276,29,420,5,1166,11925
34,1062,1864,7971,2325,8844,200,15,139,0,780,7778
35,1063,25,2507,0,1742,135,0,474,0,191,2193
36,1066,8,43,26,51,0,0,0,0,0,43
37,1068,276,1345,287,1539,20,0,0,0,21,1336
38,1069,1515,7355,1913,7627,316,0,175,0,758,7209
39,1070,123,498,163,556,1,1,9,0,11,488
40,1071,195,1085,174,1177,36,0,2,0,80,1075
41,1072,194,1180,347,1234,12,0,11,0,113,1177
42,1073,1076,5082,1242,5494,49,0,195,0,142,4834
43,1074,130,454,70,556,0,0,0,0,28,454
44,1075,2565,15486,4050,15999,280,11,943,0,1068,14865
45,1077,1735,7557,1949,8836,1,28,73,0,425,7471
46,1079,107,414,53,482,0,0,0,0,53,414
47,1080,476,1800,261,1892,14,0,36,0,194,1766
48,1081,420,1328,251,1670,9,3,0,3,76,1319
49,1082,2237,8204,1712,9858,160,0,1,0,718,8067
50,1083,794,1907,152,2522,25,0,35,0,144,1907
51,1084,21,80,23,86,0,0,0,0,15,80
52,1085,7977,33738,7258,36541,728,13,1677,50,3895,32289
53,1088,132,531,61,633,0,0,30,0,9,497
54,1089,5630,23184,4158,23299,1092,69,1435,0,3758,21721
55,1092,220,1028,115,1217,31,0,0,0,62,836
56,1093,6,151,46,157,0,0,0,0,0,151
