,Zip Code,City,ZCTA
194,1001,Agawam,1001
195,1002,Amherst,1002
196,1003,Amherst,1003
197,1004,Amherst,1002
198,1005,Barre,1005
199,1007,Belchertown,1007
200,1008,Blandford,1008
201,1009,Bondsville,1009
202,1010,Brimfield,1010
203,1011,Chester,1011
204,1012,Chesterfield,1012
205,1013,Chicopee,1013
206,1014,Chicopee,1013
207,1020,Chicopee,1020
208,1021,Chicopee,1020
209,1022,Chicopee,1022
210,1026,Cummington,1026
211,1027,Easthampton,1027
212,1028,East Longmeadow,1028
213,1029,East Otis,1029
214,1030,Feeding Hills,1030
215,1031,Gilbertville,1031
216,1032,Goshen,1032
217,1033,Granby,1033
218,1034,Granville,1034
219,1035,Hadley,1035
220,1036,Hampden,1036
221,1037,Hardwick,1037
222,1038,Hatfield,1038
223,1039,Haydenville,1039
224,1040,Holyoke,1040
225,1041,Holyoke,1040
226,1050,Huntington,1050
227,1053,Leeds,1053
228,1054,Leverett,1054
229,1056,Ludlow,1056
230,1057,Monson,1057
231,1059,North Amherst,1002
232,1060,Northampton,1060
233,1061,Northampton,1060
234,1062,Florence,1062
235,1063,Northampton,1063
236,1066,North Hatfield,1066
237,1068,Oakham,1068
238,1069,Palmer,1069
239,1070,Plainfield,1070
240,1071,Russell,1071
241,1072,Shutesbury,1072
242,1073,Southampton,1073
243,1074,South Barre,1074
244,1075,South Hadley,1075
245,1077,Southwick,1077
246,1079,Thorndike,1079
247,1080,Three Rivers,1080
248,1081,Wales,1081
249,1082,Ware,1082
250,1083,Warren,1083
251,1084,West Chesterfield,1084
252,1085,Westfield,1085
253,1086,Westfield,1086
254,1088,West Hatfield,1088
255,1089,West Springfield,1089
256,1090,West Springfield,1089
257,1092,West Warren,1092
258,1093,Whately,1093
259,1094,Wheelwright,1094
260,1095,Wilbraham,1095
261,1096,Williamsburg,1096
262,1097,Woronoco,1097
263,1098,Worthington,1098
264,1101,Springfield,1104
265,1102,Springfield,1104
266,1103,Springfield,1103
267,1104,Springfield,1104
268,1105,Springfield,1105
269,1106,Longmeadow,1106
270,1107,Springfield,1107
271,1108,Springfield,1108
272,1109,Springfield,1109
273,1111,Springfield,1109
274,1115,Springfield,1103
275,1116,Longmeadow,1106
276,1118,Springfield,1118
277,1119,Springfield,1119
278,1128,Springfield,1128
279,1129,Springfield,1129
280,1138,Springfield,1108
281,1139,Springfield,1109
282,1144,Springfield,1103
283,1151,Indian Orchard,1151
284,1152,Springfield,1151
285,1199,Springfield,1199
286,1201,Pittsfield,1201
287,1202,Pittsfield,1201
288,1203,Pittsfield,1201
289,1220,Adams,1220
290,1222,Ashley Falls,1222
291,1223,Becket,1223
292,1224,Berkshire,1224
293,1225,Cheshire,1225
294,1226,Dalton,1226
295,1227,Dalton,1226
296,1229,Glendale,1229
297,1230,Great Barrington,1230
298,1235,Hinsdale,1235
299,1236,Housatonic,1236
300,1237,Lanesborough,1237
301,1238,Lee,1238
302,1240,Lenox,1240
303,1242,Lenox Dale,1242
304,1243,Middlefield,1243
305,1244,Mill River,1244
306,1245,Monterey,1245
307,1247,North Adams,1247
308,1252,North Egremont,1230
309,1253,Otis,1253
310,1254,Richmond,1254
311,1255,Sandisfield,1255
312,1256,Savoy,1256
313,1257,Sheffield,1257
314,1258,South Egremont,1258
315,1259,Southfield,1259
316,1260,South Lee,1260
317,1262,Stockbridge,1262
318,1263,Stockbridge,1262
319,1264,Tyringham,1264
320,1266,West Stockbridge,1266
321,1267,Williamstown,1267
322,1270,Windsor,1270
323,1301,Greenfield,1301
324,1302,Greenfield,1301
325,1330,Ashfield,1330
326,1331,Athol,1331
327,1337,Bernardston,1337
328,1338,Buckland,1338
329,1339,Charlemont,1339
330,1340,Colrain,1340
331,1341,Conway,1341
332,1342,Deerfield,1342
333,1343,Drury,1343
334,1344,Erving,1344
335,1346,Heath,1346
336,1347,Lake Pleasant,1347
337,1349,Millers Falls,1349
338,1350,Monroe Bridge,1350
339,1351,Montague,1351
340,1354,Gill,1354
341,1355,New Salem,1355
342,1360,Northfield,1360
343,1364,Orange,1364
344,1366,Petersham,1366
345,1367,Rowe,1367
346,1368,Royalston,1368
347,1370,Shelburne Falls,1370
348,1373,South Deerfield,1373
349,1375,Sunderland,1375
350,1376,Turners Falls,1376
351,1378,Warwick,1378
352,1379,Wendell,1379
353,1380,Wendell Depot,1379
354,1420,Fitchburg,1420
355,1430,Ashburnham,1430
356,1431,Ashby,1431
357,1432,Ayer,1432
358,1434,Devens,1434
359,1436,Baldwinville,1436
360,1438,East Templeton,1438
361,1440,Gardner,1440
362,1441,Westminster,1473
363,1450,Groton,1450
364,1451,Harvard,1451
