,Year,Zip Code,Category,Measure,Data_Value_Type,Data_Value,Confidence Interval
0,2020,01005,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,27.2,"(25.8, 28.6)"
1,2020,01007,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.1,"(1.9, 2.4)"
2,2020,01008,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,29.2,"(27.9, 30.5)"
3,2020,01009,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,29.7,"(28.0, 31.5)"
4,2020,01026,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,2.8,"(2.6, 3.0)"
5,2020,01028,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,26.9,"(26.0, 28.0)"
6,2020,01031,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,8.6,"(7.8, 9.5)"
7,2020,01032,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.4,"(2.1, 2.9)"
8,2020,01037,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,15.1,"(13.6, 16.6)"
9,2020,01039,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,23.9,"(22.4, 25.6)"
10,2020,01053,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,9.8,"(9.3, 10.4)"
11,2020,01063,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,13.1,"(10.6, 15.6)"
12,2020,01069,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,6.6,"(5.5, 7.9)"
13,2020,01069,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,3.0,"(2.7, 3.3)"
14,2020,01070,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,10.4,"(6.3, 15.2)"
15,2019,01072,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,93.0,"(91.8, 94.0)"
16,2020,01073,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,7.7,"(6.9, 8.5)"
17,2020,01075,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,21.6,"(20.8, 22.4)"
18,2020,01079,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.8,"(2.5, 3.2)"
19,2020,01081,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,29.7,"(28.0, 31.4)"
20,2020,01088,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.7,"(2.3, 3.1)"
21,2020,01093,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,29.2,"(27.0, 31.2)"
22,2020,01225,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.9,"(2.5, 3.4)"
23,2020,01237,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,6.0,"(5.4, 6.6)"
24,2020,01238,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.9,"(2.5, 3.4)"
25,2020,01243,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,10.3,"(9.7, 11.0)"
26,2020,01253,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,24.3,"(22.6, 25.9)"
27,2020,01262,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,79.6,"(76.0, 82.8)"
28,2020,01264,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,3.5,"(2.9, 4.1)"
29,2020,01341,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.3,"(1.9, 2.6)"
30,2020,01355,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,80.4,"(75.9, 84.1)"
31,2020,01368,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,2.6,"(2.4, 2.9)"
32,2020,01373,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,25.4,"(24.4, 26.5)"
33,2019,01378,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,31.8,"(30.1, 33.5)"
34,2019,01438,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,90.4,"(88.9, 91.8)"
35,2020,01451,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,27.7,"(25.9, 29.6)"
36,2019,01452,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,73.1,"(71.5, 74.5)"
