,Zip Code,Total Households,Population Over 25 With No High School Diploma,Population Over 25 With Associate Degree,Population Over 25 With Bachelor Degree,Population Over 25 With Graduate/Professional Degree,Households With Computer Access and Broadband Internet
0,1001,6791.0,694.0,1394.0,2808.0,1789.0,5781.0
1,1002,9985.0,153.0,689.0,3291.0,6527.0,9273.0
2,1003,15.0,0.0,46.0,1.0,32.0,10.0
3,1005,1761.0,16.0,276.0,642.0,647.0,1617.0
4,1007,5917.0,164.0,1328.0,2573.0,2524.0,5580.0
5,1008,506.0,60.0,128.0,168.0,137.0,392.0
6,1009,333.0,11.0,11.0,240.0,23.0,284.0
7,1010,1503.0,80.0,271.0,870.0,355.0,1352.0
8,1011,498.0,86.0,69.0,73.0,110.0,372.0
9,1012,227.0,46.0,24.0,51.0,49.0,164.0
10,1013,9375.0,1447.0,1440.0,2030.0,1495.0,8061.0
11,1020,13400.0,2272.0,2406.0,3193.0,1450.0,11706.0
12,1022,1082.0,85.0,103.0,368.0,140.0,834.0
13,1026,454.0,10.0,62.0,228.0,219.0,379.0
14,1027,8451.0,544.0,1517.0,3137.0,2412.0,7643.0
15,1028,6017.0,411.0,1266.0,2855.0,2194.0,5242.0
16,1029,228.0,97.0,14.0,69.0,39.0,182.0
17,1030,4994.0,260.0,1006.0,1810.0,1273.0,4531.0
18,1031,608.0,79.0,124.0,154.0,117.0,550.0
19,1032,198.0,3.0,31.0,103.0,61.0,167.0
20,1033,2530.0,177.0,465.0,1170.0,770.0,2236.0
21,1034,830.0,55.0,150.0,363.0,241.0,725.0
22,1035,2254.0,88.0,211.0,1402.0,909.0,2092.0
23,1036,2016.0,121.0,581.0,776.0,674.0,1910.0
24,1037,257.0,20.0,62.0,139.0,80.0,225.0
25,1038,1111.0,47.0,150.0,585.0,376.0,980.0
26,1039,709.0,15.0,57.0,380.0,401.0,670.0
27,1040,15062.0,3600.0,2313.0,3462.0,2216.0,12214.0
28,1050,1072.0,108.0,179.0,445.0,160.0,970.0
29,1053,712.0,20.0,79.0,399.0,300.0,604.0
30,1054,708.0,58.0,73.0,344.0,585.0,662.0
31,1056,8567.0,1058.0,1748.0,2658.0,1042.0,7426.0
32,1057,3485.0,397.0,657.0,959.0,658.0,3129.0
33,1060,7060.0,406.0,437.0,3382.0,4562.0,6227.0
34,1062,4162.0,285.0,652.0,1864.0,2092.0,3571.0
35,1063,5.0,0.0,0.0,0.0,5.0,5.0
36,1066,34.0,26.0,0.0,17.0,0.0,8.0
37,1068,625.0,44.0,146.0,293.0,176.0,572.0
38,1069,3732.0,545.0,542.0,1130.0,461.0,3368.0
39,1070,258.0,14.0,39.0,87.0,130.0,217.0
40,1071,518.0,34.0,137.0,184.0,78.0,419.0
41,1072,609.0,11.0,79.0,343.0,398.0,537.0
42,1073,2318.0,252.0,634.0,999.0,717.0,2266.0
43,1074,157.0,0.0,43.0,41.0,23.0,128.0
44,1075,7328.0,404.0,1242.0,2839.0,2717.0,6410.0
45,1077,3648.0,340.0,718.0,1387.0,1074.0,3097.0
46,1079,237.0,0.0,34.0,75.0,40.0,237.0
47,1080,895.0,89.0,113.0,223.0,72.0,791.0
48,1081,708.0,59.0,135.0,200.0,150.0,681.0
49,1082,4689.0,454.0,657.0,1116.0,525.0,4224.0
50,1083,934.0,98.0,191.0,258.0,184.0,722.0
51,1084,44.0,4.0,2.0,32.0,17.0,35.0
52,1085,15608.0,1830.0,3198.0,5992.0,3183.0,13742.0
53,1088,345.0,0.0,55.0,36.0,83.0,194.0
54,1089,12734.0,1203.0,1770.0,4287.0,3097.0,11278.0
55,1092,532.0,31.0,115.0,258.0,116.0,420.0
56,1093,70.0,0.0,5.0,36.0,5.0,67.0
57,1094,31.0,0.0,0.0,7.0,0.0,10.0
