Rank,ZCTA,Population
1,2301,"68,571"
2,2148,"65,386"
3,2155,"62,996"
4,2360,"60,793"
5,2151,"60,736"
6,2169,"60,459"
7,2124,"56,070"
8,1960,"54,051"
9,1841,"53,180"
10,1844,"52,502"
11,2780,"51,911"
12,1902,"51,008"
13,2149,"48,584"
14,2703,"46,126"
15,2740,"45,990"
16,2128,"45,501"
17,1201,"45,372"
18,2135,"45,024"
19,1970,"44,372"
20,1453,"43,478"
21,1420,"41,766"
22,1085,"41,715"
23,1915,"41,545"
24,1752,"41,505"
25,2130,"41,112"
26,1801,"40,967"
27,1604,"40,961"
28,2136,"40,947"
29,2150,"40,009"
30,2139,"39,707"
31,2138,"39,370"
32,1702,"38,842"
33,2184,"38,712"
34,1040,"38,480"
35,1545,"38,291"
36,1852,"36,740"
37,1760,"36,354"
38,2302,"35,645"
39,1810,"35,600"
40,2127,"35,266"
41,2472,"35,229"
42,2368,"34,696"
43,1701,"33,319"
44,2038,"33,057"
45,2125,"32,614"
46,2131,"32,609"
47,1851,"32,469"
48,1826,"32,313"
49,2446,"31,764"
50,1821,"31,499"
51,1845,"31,394"
52,2062,"31,256"
53,1109,"31,242"
54,2720,"31,210"
55,1876,"30,930"
56,1020,"30,704"
57,2453,"30,441"
58,1605,"30,353"
59,1757,"30,294"
60,2121,"29,888"
61,1930,"29,814"
62,2176,"29,401"
63,1854,"29,157"
64,2072,"29,028"
65,2760,"28,837"
66,1089,"28,814"
67,2115,"28,559"
68,1906,"28,521"
69,2186,"28,414"
70,2119,"28,307"
71,2474,"28,028"
72,1843,"27,804"
73,1923,"27,789"
74,2118,"27,718"
75,1830,"27,403"
76,2145,"27,359"
77,1002,"27,323"
78,1880,"27,179"
79,2478,"27,016"
80,2721,"26,981"
81,1905,"26,962"
82,1602,"26,711"
83,1824,"26,574"
84,2132,"26,437"
85,1108,"26,257"
86,1803,"26,234"
87,1610,"26,057"
88,2215,"25,856"
89,2050,"25,841"
90,2126,"25,572"
91,1832,"25,526"
92,1867,"25,511"
93,2144,"25,367"
94,2026,"25,308"
95,2143,"25,264"
96,2324,"25,245"
97,2745,"24,884"
98,1886,"24,535"
99,2346,"24,219"
100,2021,"24,122"
101,2043,"24,061"
102,2048,"23,768"
103,2122,"23,747"
104,1609,"23,509"
105,2467,"23,328"
106,1887,"23,311"
107,1104,"23,226"
108,1720,"23,107"
109,2180,"23,077"
110,1606,"22,883"
111,1890,"22,875"
112,2747,"22,872"
113,1013,"22,709"
114,2116,"22,587"
115,2445,"21,485"
116,1440,"21,310"
117,1581,"21,213"
118,1056,"21,050"
119,2492,"20,927"
120,2129,"20,411"
121,1945,"20,397"
122,2081,"20,287"
123,2536,"20,261"
124,1603,"20,184"
125,2170,"20,130"
126,2140,"20,060"
127,1749,"20,032"
128,2171,"19,923"
129,1904,"19,912"
130,2766,"19,270"
131,2152,"19,088"
132,2459,"19,081"
133,1776,"18,912"
134,2421,"18,784"
135,2066,"18,781"
136,1721,"18,646"
137,1748,"18,501"
138,2067,"18,477"
139,2134,"18,437"
140,2035,"18,431"
141,1742,"18,393"
142,2359,"18,329"
143,1950,"18,282"
144,2724,"18,127"
145,1075,"18,051"
146,2476,"18,017"
147,2451,"17,965"
148,2190,"17,927"
149,1301,"17,901"
150,2370,"17,774"
151,1027,"17,708"
152,1570,"17,664"
153,1550,"17,643"
154,1913,"17,286"
155,2601,"17,175"
156,2777,"17,020"
157,2481,"16,997"
158,2351,"16,974"
159,2019,"16,934"
160,1520,"16,752"
161,1501,"16,684"
162,2746,"16,675"
163,2723,"16,577"
164,1850,"16,438"
165,1028,"16,386"
166,2790,"16,237"
167,2452,"16,193"
168,2188,"16,169"
169,1106,"16,150"
170,1001,"16,088"
171,2090,"16,066"
172,2332,"16,004"
173,2719,"15,911"
174,2726,"15,781"
175,1532,"15,605"
176,1864,"15,549"
177,2420,"15,451"
178,1247,"15,405"
179,2771,"15,339"
180,1007,"15,304"
181,2189,"15,265"
182,2767,"15,255"
183,1510,"15,221"
184,1907,"15,183"
185,2382,"15,116"
186,2120,"15,082"
187,1118,"15,073"
188,2649,"14,996"
189,1060,"14,975"
190,2339,"14,742"
191,1095,"14,737"
192,2333,"14,403"
193,1746,"14,386"
194,1730,"14,233"
195,1835,"14,164"
196,1778,"14,060"
