ZCTA,Diagnosed diabetes among adults aged >=18 years,Mental health not good for >=14 days among adults aged >=18 years,Stroke among adults aged >=18 years
01001,0.10099999999999999,0.163,0.033
01002,0.068,0.20199999999999999,0.021
01003,0.02,0.33799999999999997,0.006999999999999999
01005,0.083,0.162,0.027000000000000003
01007,0.071,0.147,0.023
01008,0.096,0.16699999999999998,0.027999999999999997
01009,0.092,0.18600000000000003,0.027999999999999997
01010,0.096,0.16699999999999998,0.027999999999999997
01011,0.092,0.16399999999999998,0.027999999999999997
01012,0.084,0.152,0.027999999999999997
01013,0.114,0.207,0.034
01020,0.106,0.183,0.033
01022,0.09699999999999999,0.19,0.031
01026,0.08900000000000001,0.15,0.028999999999999998
01027,0.079,0.153,0.026000000000000002
01028,0.095,0.152,0.031
01029,0.09300000000000001,0.14,0.031
01030,0.085,0.163,0.026000000000000002
01031,0.08900000000000001,0.174,0.028999999999999998
01032,0.079,0.142,0.026000000000000002
01033,0.073,0.14400000000000002,0.025
01034,0.096,0.16699999999999998,0.028999999999999998
01035,0.084,0.139,0.028999999999999998
01036,0.095,0.153,0.03
01037,0.086,0.177,0.027000000000000003
01038,0.084,0.139,0.027999999999999997
01039,0.08199999999999999,0.14300000000000002,0.027000000000000003
01040,0.138,0.205,0.037000000000000005
01050,0.086,0.16899999999999998,0.027999999999999997
01053,0.10099999999999999,0.129,0.036000000000000004
01054,0.08800000000000001,0.132,0.027000000000000003
01056,0.096,0.17600000000000002,0.031
01057,0.08800000000000001,0.17,0.026000000000000002
01060,0.067,0.172,0.022000000000000002
01062,0.085,0.14400000000000002,0.027000000000000003
01063,0.01,0.287,0.004
01066,0.087,0.136,0.028999999999999998
01068,0.078,0.156,0.024
01069,0.098,0.179,0.031
01070,0.09300000000000001,0.147,0.03
01071,0.08900000000000001,0.174,0.026000000000000002
01072,0.078,0.141,0.023
01073,0.077,0.146,0.025
01074,0.066,0.18,0.021
01075,0.075,0.166,0.027000000000000003
01077,0.091,0.166,0.027999999999999997
01079,0.095,0.18600000000000003,0.028999999999999998
01080,0.106,0.201,0.033
01081,0.091,0.17300000000000001,0.026000000000000002
01082,0.09300000000000001,0.175,0.031
01083,0.08900000000000001,0.17600000000000002,0.027000000000000003
01084,0.09300000000000001,0.14,0.032
01085,0.08800000000000001,0.18,0.027000000000000003
01086,0.006999999999999999,0.263,0.003
01088,0.086,0.139,0.028999999999999998
01089,0.099,0.179,0.028999999999999998
01092,0.086,0.17800000000000002,0.027000000000000003
01093,0.099,0.142,0.031
01094,0.10099999999999999,0.165,0.033
01095,0.092,0.145,0.028999999999999998
01096,0.08,0.14400000000000002,0.026000000000000002
01097,0.057,0.19899999999999998,0.019
01098,0.094,0.147,0.031
01103,0.172,0.239,0.039
01104,0.149,0.207,0.04
01105,0.174,0.251,0.04
01106,0.085,0.132,0.027000000000000003
01107,0.182,0.25,0.04
01108,0.131,0.21899999999999997,0.033
01109,0.146,0.235,0.039
01118,0.107,0.18,0.032
01119,0.11199999999999999,0.207,0.032
01128,0.107,0.17300000000000001,0.031
01129,0.11,0.17600000000000002,0.032
01151,0.125,0.223,0.034
01201,0.1,0.166,0.034
01220,0.094,0.16,0.033
01222,0.08800000000000001,0.154,0.028999999999999998
01223,0.091,0.147,0.028999999999999998
01224,0.081,0.14300000000000002,0.025
01225,0.09,0.154,0.03
01226,0.086,0.145,0.03
01229,0.11199999999999999,0.141,0.037000000000000005
01230,0.09699999999999999,0.146,0.032
01235,0.08800000000000001,0.15,0.028999999999999998
01236,0.09699999999999999,0.14800000000000002,0.032
01237,0.084,0.14,0.027999999999999997
01238,0.08900000000000001,0.146,0.031
01240,0.09699999999999999,0.12,0.037000000000000005
01242,0.075,0.142,0.024
01243,0.094,0.147,0.03
01244,0.076,0.14800000000000002,0.024
01245,0.094,0.131,0.031
01247,0.1,0.18600000000000003,0.034
01253,0.09,0.146,0.028999999999999998
01254,0.099,0.125,0.032
01255,0.098,0.13699999999999998,0.032
01256,0.10400000000000001,0.16399999999999998,0.033
01257,0.1,0.14300000000000002,0.034
01258,0.09699999999999999,0.11900000000000001,0.032
01259,0.09300000000000001,0.132,0.031
01260,0.10099999999999999,0.14300000000000002,0.034
01262,0.11199999999999999,0.142,0.036000000000000004
01264,0.109,0.12,0.036000000000000004
01266,0.1,0.127,0.032
01267,0.076,0.157,0.027000000000000003
01270,0.09,0.142,0.028999999999999998
01301,0.094,0.165,0.032
01330,0.081,0.131,0.026000000000000002
01331,0.09699999999999999,0.18,0.031
01337,0.091,0.14800000000000002,0.03
01338,0.1,0.139,0.032
01339,0.099,0.157,0.032
01340,0.094,0.16,0.031
01341,0.078,0.134,0.024
01342,0.083,0.145,0.026000000000000002
01343,0.094,0.171,0.035
01344,0.092,0.166,0.03
01346,0.106,0.152,0.034
01347,0.08,0.16,0.025
01349,0.08199999999999999,0.163,0.027000000000000003
01350,0.08900000000000001,0.162,0.027999999999999997
01351,0.086,0.156,0.027999999999999997
01354,0.08900000000000001,0.15,0.027999999999999997
01355,0.08199999999999999,0.135,0.025
01360,0.085,0.146,0.028999999999999998
01364,0.09699999999999999,0.174,0.032
01366,0.099,0.157,0.031
01367,0.111,0.146,0.037000000000000005
01368,0.094,0.171,0.028999999999999998
01370,0.092,0.147,0.03
01373,0.087,0.14400000000000002,0.027999999999999997
01375,0.063,0.17,0.02
01376,0.098,0.17300000000000001,0.033
01378,0.102,0.16,0.032
01379,0.09699999999999999,0.16699999999999998,0.028999999999999998
01420,0.09699999999999999,0.19,0.028999999999999998
01430,0.07200000000000001,0.153,0.022000000000000002
01431,0.075,0.145,0.025
01432,0.07,0.13699999999999998,0.022000000000000002
01434,0.036000000000000004,0.142,0.01
01436,0.092,0.163,0.031
01438,0.084,0.172,0.027000000000000003
01440,0.099,0.18100000000000002,0.032
01450,0.07,0.126,0.022000000000000002
01451,0.08199999999999999,0.126,0.024
01452,0.078,0.162,0.023
01453,0.09699999999999999,0.172,0.03
01460,0.073,0.126,0.024
01462,0.086,0.154,0.027000000000000003
01463,0.07,0.142,0.023
01464,0.07400000000000001,0.14800000000000002,0.023
01467,0.08199999999999999,0.126,0.025
01468,0.085,0.171,0.027000000000000003
01469,0.071,0.147,0.023
01473,0.08,0.153,0.025
01474,0.073,0.146,0.023
01475,0.085,0.177,0.027000000000000003
01501,0.085,0.149,0.027999999999999997
01503,0.085,0.138,0.027000000000000003
01504,0.07400000000000001,0.16,0.023
01505,0.078,0.13699999999999998,0.024
01506,0.094,0.165,0.03
01507,0.076,0.157,0.025
01510,0.091,0.174,0.027999999999999997
01515,0.081,0.158,0.026000000000000002
01516,0.068,0.157,0.02
01518,0.083,0.14800000000000002,0.026000000000000002
01519,0.07200000000000001,0.146,0.021
01520,0.078,0.136,0.024
01521,0.08900000000000001,0.175,0.026000000000000002
01522,0.073,0.146,0.022000000000000002
01523,0.075,0.153,0.024
01524,0.08199999999999999,0.168,0.026000000000000002
01525,0.063,0.166,0.019
01527,0.08199999999999999,0.157,0.027000000000000003
01529,0.075,0.17600000000000002,0.023
01531,0.09,0.171,0.027000000000000003
01532,0.075,0.13,0.022000000000000002
01534,0.079,0.159,0.026000000000000002
01535,0.084,0.16699999999999998,0.027000000000000003
01536,0.07400000000000001,0.151,0.023
01537,0.085,0.166,0.027000000000000003
01540,0.085,0.171,0.026000000000000002
01541,0.081,0.134,0.024
01542,0.08199999999999999,0.16399999999999998,0.026000000000000002
01543,0.068,0.151,0.021
01545,0.077,0.136,0.023
01550,0.113,0.19399999999999998,0.034
01560,0.064,0.149,0.019
01561,0.047,0.204,0.013999999999999999
01562,0.092,0.17600000000000002,0.028999999999999998
01564,0.076,0.138,0.024
01566,0.083,0.149,0.026000000000000002
01568,0.068,0.135,0.02
01569,0.08,0.159,0.025
01570,0.094,0.175,0.031
01571,0.075,0.171,0.024
01581,0.07200000000000001,0.129,0.022000000000000002
01583,0.091,0.152,0.028999999999999998
01585,0.09699999999999999,0.158,0.032
01588,0.079,0.161,0.026000000000000002
01590,0.078,0.151,0.023
01602,0.08900000000000001,0.166,0.027000000000000003
01603,0.114,0.192,0.031
01604,0.095,0.18100000000000002,0.028999999999999998
01605,0.114,0.196,0.033
01606,0.09,0.168,0.028999999999999998
01607,0.10099999999999999,0.196,0.028999999999999998
01608,0.11900000000000001,0.217,0.027000000000000003
01609,0.09,0.20800000000000002,0.026000000000000002
01610,0.10099999999999999,0.245,0.026000000000000002
01611,0.079,0.16699999999999998,0.025
01612,0.068,0.15,0.022000000000000002
01701,0.076,0.122,0.025
01702,0.079,0.172,0.025
01718,0.079,0.115,0.021
01719,0.07200000000000001,0.12,0.02
01720,0.069,0.111,0.02
01721,0.068,0.127,0.021
01730,0.075,0.10800000000000001,0.025
01731,0.03,0.153,0.009000000000000001
01740,0.069,0.128,0.02
01741,0.075,0.105,0.022000000000000002
01742,0.075,0.105,0.026000000000000002
01745,0.071,0.126,0.022000000000000002
01746,0.067,0.11800000000000001,0.022000000000000002
